Year;Day;Date;Number_1;Number_2;Number_3;Number_4;Number_5;Bonus_Ball;Jackpot;Outcome
2024;Friday;29 November 2024;5;16;27;32;40;1;R5,164,031.02;Roll
2024;Tuesday;26 November 2024;12;18;22;36;38;12;R77,428,794.30;Won
2024;Friday;22 November 2024;15;17;19;43;49;8;R71,002,634.20;Roll
2024;Tuesday;19 November 2024;3;11;17;21;37;6;R64,811,615.94;Roll
2024;Friday;15 November 2024;5;18;21;23;31;18;R59,428,856.41;Roll
2024;Tuesday;12 November 2024;4;5;18;39;42;14;R53,255,671.87;Roll
2024;Friday;8 November 2024;4;5;29;35;45;7;R47,704,607.19;Roll
2024;Tuesday;5 November 2024;10;14;20;36;43;17;R40,712,520.05;Roll
2024;Friday;1 November 2024;3;12;17;29;38;18;R34,184,593.01;Roll
2024;Tuesday;29 October 2024;1;19;30;37;40;16;R26,919,248.58;Roll
2024;Friday;25 October 2024;10;38;39;42;49;17;R21,220,146.43;Roll
2024;Tuesday;22 October 2024;2;23;27;45;49;12;R15,050,089.01;Roll
2024;Friday;18 October 2024;4;12;28;33;48;14;R10,391,928.20;Roll
2024;Tuesday;15 October 2024;14;32;35;39;44;17;R4,777,504.72;Roll
2024;Friday;11 October 2024;3;8;13;46;48;11;R43,158,293.10;Won
2024;Tuesday;8 October 2024;3;13;31;37;40;9;R37,066,211.02;Roll
2024;Friday;4 October 2024;2;8;24;42;48;17;R31,510,574.35;Roll
2024;Tuesday;1 October 2024;3;10;14;25;39;1;R25,020,486.03;Roll
2024;Friday;27 September 2024;12;22;29;43;47;10;R19,537,534.20;Roll
2024;Tuesday;24 September 2024;19;23;30;31;38;19;R13,815,945.29;Roll
2024;Friday;20 September 2024;6;12;16;18;47;19;R9,608,890.09;Roll
2024;Tuesday;17 September 2024;23;26;43;44;49;16;R4,720,098.12;Roll
2024;Friday;13 September 2024;2;10;25;37;43;7;R107,768,939.56;Won
2024;Tuesday;10 September 2024;16;17;18;47;48;6;R98,417,462.72;Roll
2024;Friday;6 September 2024;10;17;23;44;46;4;R90,000,000;Roll
2024;Tuesday;3 September 2024;2;9;30;38;47;2;R78,165,500.82;Roll
2024;Friday;30 August 2024;8;27;33;43;48;14;R71,074,983.83;Roll
2024;Tuesday;27 August 2024;13;35;39;42;49;2;R63,915,198.55;Roll
2024;Friday;23 August 2024;20;22;37;39;40;7;R57,903,599.10;Roll
2024;Tuesday;20 August 2024;5;7;13;23;40;7;R52,254,163.70;Roll
2024;Friday;16 August 2024;9;14;15;22;36;1;R47,336,972.37;Roll
2024;Tuesday;13 August 2024;6;34;35;42;46;11;R41,707,362.87;Roll
2024;Friday;9 August 2024;7;13;28;37;44;6;R37,013,786.84;Roll
2024;Tuesday;6 August 2024;5;31;34;40;46;10;R31,978,045.67;Roll
2024;Friday;2 August 2024;2;5;10;31;32;11;R27,040,061.27;Roll
2024;Tuesday;30 July 2024;7;15;20;32;46;4;R21,179,402.90;Roll
2024;Friday;26 July 2024;6;9;12;38;39;17;R16,460,730.30;Roll
2024;Tuesday;23 July 2024;3;11;16;26;48;7;R11,359,427.09;Roll
2024;Friday;19 July 2024;2;6;9;31;37;6;R7,676,208.59;Roll
2024;Tuesday;16 July 2024;2;10;22;48;49;7;R3,659,425.87;Roll
2024;Friday;12 July 2024;5;10;26;37;44;15;R59,039,712.30;Won
2024;Tuesday;9 July 2024;2;7;19;31;45;4;R53,038,708.44;Roll
2024;Friday;5 July 2024;18;19;22;38;49;15;R47,656,811.67;Roll
2024;Tuesday;2 July 2024;6;15;20;32;42;5;R41,694,136.45;Roll
2024;Friday;28 June 2024;19;22;31;40;47;5;R36,095,644.05;Roll
2024;Tuesday;25 June 2024;3;32;40;42;49;5;R30,474,565.16;Roll
2024;Friday;21 June 2024;9;29;30;33;49;10;R25,761,320.25;Roll
2024;Tuesday;18 June 2024;9;13;18;45;49;2;R21,185,567.67;Roll
2024;Friday;14 June 2024;19;24;40;45;49;7;R17,422,760.38;Roll
2024;Tuesday;11 June 2024;12;22;25;43;50;16;R13,098,382.79;Roll
2024;Friday;7 June 2024;6;9;17;37;41;19;R9,020,850.34;Roll
2024;Tuesday;4 June 2024;4;15;38;41;42;17;R4,314,039.74;Roll
2024;Friday;31 May 2024;17;20;22;35;43;7;R70,000,000;Won
2024;Tuesday;28 May 2024;2;3;23;39;45;14;R62,539,481.42;Roll
2024;Friday;24 May 2024;4;14;16;18;25;11;R56,124,586.72;Roll
2024;Tuesday;21 May 2024;3;9;16;26;38;8;R49,780,342.95;Roll
2024;Friday;17 May 2024;18;22;23;31;32;18;R44,371,377.95;Roll
2024;Tuesday;14 May 2024;4;9;39;41;44;19;R38,509,582.24;Roll
2024;Friday;10 May 2024;9;21;33;43;44;10;R33,457,643.05;Roll
2024;Tuesday;7 May 2024;2;4;10;39;40;11;R27,981,050.41;Roll
2024;Friday;3 May 2024;28;31;33;37;44;2;R23,102,090.76;Roll
2024;Tuesday;30 April 2024;5;8;14;33;36;2;R17,470,199.80;Roll
2024;Friday;26 April 2024;5;12;13;17;32;12;R12,635,438.35;Roll
2024;Tuesday;23 April 2024;13;20;26;37;42;7;R7,729,007.59;Roll
2024;Friday;19 April 2024;4;17;18;44;48;19;R4,153,656.59;Roll
2024;Tuesday;16 April 2024;6;14;26;32;41;3;R13,309,154.20;Won
2024;Friday;12 April 2024;22;26;42;43;45;20;R8,993,439.19;Roll
2024;Tuesday;9 April 2024;5;7;31;36;42;10;R4,442,021.83;Roll
2024;Friday;5 April 2024;6;8;16;28;36;18;R134,286,457.41;Won
2024;Tuesday;2 April 2024;13;20;28;39;47;18;R123,921,196.73;Roll
2024;Friday;29 March 2024;1;13;24;25;35;4;R115,650,303.26;Roll
2024;Tuesday;26 March 2024;11;15;35;41;45;12;R107,026,435.69;Roll
2024;Friday;22 March 2024;9;10;36;43;44;7;R98,314,787.10;Roll
2024;Tuesday;19 March 2024;7;15;19;26;36;15;R90,994,682.37;Roll
2024;Friday;15 March 2024;4;9;20;22;33;20;R84,000,000;Roll
2024;Tuesday;12 March 2024;2;18;21;47;48;9;R76,043,795.46;Roll
2024;Friday;8 March 2024;7;18;19;27;28;14;R70,000,000;Roll
2024;Tuesday;5 March 2024;2;4;23;27;31;4;R61,306,555.96;Roll
2024;Friday;1 March 2024;10;30;35;42;46;10;R55,007,571.04;Roll
2024;Tuesday;27 February 2024;12;13;33;39;43;4;R48,306,234.84;Roll
2024;Friday;23 February 2024;3;19;22;35;38;17;R42,423,752.29;Roll
2024;Tuesday;20 February 2024;4;13;16;21;32;4;R36,441,791.69;Roll
